Timepoint	r-20170110-M1-0.25nM-High resolution-3h-4.csv-9	r-20170110-M1-0.25nM-High resolution-3h-4.csv-11	r-20170110-M1-0.25nM-High resolution-3h-5.csv-10	r-20170110-M1-0.25nM-High resolution-3h-5.csv-22	r-20170110-M1-0.25nM-High resolution-3h-5.csv-37	r-20170110-M1-0.25nM-High resolution-3h-5.csv-38
326	NaN	1.652	1.955	0.928	0.905	0.909
327	NaN	1.656	1.956	0.929	0.906	0.909
328	NaN	1.660	1.948	0.929	0.906	0.910
329	NaN	1.665	1.934	0.930	0.907	0.910
330	NaN	1.671	1.920	0.931	0.908	0.910
331	NaN	1.677	1.912	0.932	0.908	0.911
332	NaN	1.682	1.910	0.934	0.909	0.911
333	NaN	1.685	1.911	0.935	0.910	0.911
334	NaN	1.685	1.915	0.936	0.910	0.912
335	NaN	1.683	1.927	0.937	0.911	0.912
336	NaN	1.679	1.948	0.938	0.911	0.912
337	NaN	1.674	1.968	0.939	0.912	0.912
338	NaN	1.669	1.978	0.940	0.913	0.913
339	NaN	1.667	1.974	0.941	0.913	0.913
340	NaN	1.668	1.965	0.943	0.914	0.913
341	NaN	1.669	1.968	0.945	0.915	0.914
342	NaN	1.672	1.992	0.947	0.915	0.914
343	NaN	1.674	2.029	0.949	0.916	0.914
344	NaN	1.676	2.057	0.952	0.916	0.915
345	NaN	1.678	2.057	0.954	0.917	0.915
346	NaN	1.681	2.034	0.957	0.918	0.915
347	NaN	1.685	2.005	0.959	0.918	0.916
348	NaN	1.689	1.989	0.962	0.919	0.916
349	NaN	1.693	1.987	0.965	0.919	0.916
350	NaN	1.698	1.988	0.967	0.920	0.917
351	NaN	1.702	1.983	0.969	0.920	0.917
352	NaN	1.707	1.971	0.971	0.921	0.917
353	NaN	1.711	1.960	0.972	0.921	0.918
354	NaN	1.714	1.956	0.973	0.922	0.918
355	NaN	1.715	1.961	0.974	0.922	0.918
356	NaN	1.715	1.971	0.975	0.922	0.919
357	NaN	1.712	1.985	0.975	0.923	0.919
358	NaN	1.708	2.003	0.977	0.923	0.920
359	NaN	1.703	2.020	0.978	0.923	0.920
360	NaN	1.698	2.027	0.980	0.924	0.920
361	NaN	1.696	2.017	0.983	0.924	0.921
362	NaN	1.696	1.995	0.986	0.924	0.921
363	NaN	1.700	1.973	0.989	0.925	0.922
364	NaN	1.706	1.962	0.993	0.925	0.922
365	NaN	1.712	1.961	0.996	0.925	0.922
366	NaN	1.718	1.968	0.998	0.925	0.923
367	NaN	1.722	1.978	0.999	0.926	0.923
368	NaN	1.724	1.984	1.000	0.926	0.924
369	NaN	1.723	1.980	1.001	0.926	0.924
370	NaN	1.721	1.965	1.002	0.926	0.925
371	NaN	1.719	1.951	1.003	0.927	0.925
372	NaN	1.716	1.946	1.005	0.927	0.926
373	NaN	1.715	1.949	1.007	0.927	0.926
374	NaN	1.717	1.955	1.011	0.928	0.927
375	NaN	1.721	1.959	1.014	0.928	0.927
